,doi,title,abstract_background,journal_name,publication_year,publication_date
10,10.1002/ajim.22734,Evaluation of a state based syndromic surveillance system for the classification and capture of non-fatal occupational injuries and illnesses in New Jersey.,This preliminary study evaluates a real-time syndromic surveillance system to track occupationally-related emergency room visits throughout New Jersey.,American journal of industrial medicine,2017,5/26/17
11,10.1002/bdr2.1164,"Pre-Zika descriptive epidemiology of microcephaly in Texas, 2008-2012.","There are limited population-based studies on microcephaly. We characterized the epidemiology of microcephaly in Texas during a 5-year period (2008-2012), prior to the Zika epidemic in the Western hemisphere (2015). The associations of suspected risk factors were compared across four clearly defined case groups.",Birth defects research,2017,11/25/17
12,10.1002/pros.23396,Risk factors for metastatic prostate cancer: A sentinel event case series.,"Root cause analysis is a technique used to assess systems factors related to ""sentinel events""-serious adverse events within healthcare systems. This technique is commonly used to identify factors, which allowed these adverse events to occur, to target areas for improvement and to improve health care delivery systems. We sought to apply this technique to men presenting with metastatic prostate cancer (PCa).",The Prostate,2017,8/9/17
13,10.1007/s00066-017-1159-0,Surveillance of anal carcinoma after radiochemotherapy : A retrospective analysis of 80Â patients.,"Surveillance after radiochemotherapy of anal carcinoma (ACa) with curative intent is recommended in guidelines, but data regarding the effectiveness of follow-up are lacking. We aimed to assess the performance of an ACa surveillance program in aÂ real-life setting.",Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],2017,6/28/17
14,10.1016/j.ajog.2017.10.010,"Trends in pelvic inflammatory disease emergency department visits, United States, 2006-2013.","Pelvic inflammatory disease is a female genital tract disorder with severe reproductive sequelae. Because of the difficulties in diagnosing pelvic inflammatory disease, it is not a reportable condition in many states. Females seeking care in emergency departments are a sentinel population for pelvic inflammatory disease surveillance.",American journal of obstetrics and gynecology,2017,10/19/17
15,10.1016/j.vaccine.2017.03.084,"Influenza vaccine effectiveness against influenza-associated hospitalization in 2015/16 season, Beijing, China.",Vaccination is recommended to prevent influenza virus infection and associated complications. This study aimed to estimate the influenza vaccine effectiveness (VE) against hospitalization in the 2015/16 season in Beijing.,Vaccine,2017,5/1/17
16,10.1097/OLQ.0000000000000551,"Sentinel Surveillance for Expedited Partner Therapy Prescriptions Using Pharmacy Data, in 2 New York City Neighborhoods, 2015.","Expedited partner therapy (EPT) for Chlamydia trachomatis (Ct) is the practice of providing Ct-infected patients with medication, or prescription (prescription-EPT) to deliver to their sex partners without first examining those partners. New York City (NYC) providers commonly use prescription-EPT, yet NYC pharmacists report only occasional receipt of EPT prescriptions. This project assessed the frequency of EPT prescriptions filled in 2 NYC neighborhoods.",Sexually transmitted diseases,2017,1/13/17
17,10.1097/OLQ.0000000000000647,"Trends in Adult Chlamydia and Gonorrhea Prevalence, Incidence and Urethral Discharge Case Reporting in Morocco over 1995-2015-Estimates Using the Spectrum-Sexually Transmitted Infection Model.",Evolving health priorities and resource constraints mean that countries require data on sexually transmitted infections (STI) trends to inform program planning and resource allocation.,Sexually transmitted diseases,2017,8/15/17
18,10.1111/irv.12497,"Burden of influenza, respiratory syncytial virus, and other respiratory viruses and the completeness of respiratory viral identification among respiratory inpatients, Canada, 2003-2014.","A regression-based study design has commonly been used to estimate the influenza burden; however, these estimates are not timely and many countries lack sufficient virological data. Alternative approaches that would permit a timelier assessment of the burden, including a sentinel surveillance approach recommended by the World Health Organization (WHO), have been proposed. We aimed to estimate the hospitalization burden attributable to influenza, respiratory syncytial virus (RSV), and other respiratory viruses (ORV) and to assess both the completeness of viral identification among respiratory inpatients in Canada and the implications of adopting other approaches.",Influenza and other respiratory viruses,2017,12/16/17
19,10.1111/irv.12527,Influenza-associated severe acute respiratory infections in 2 sentinel sites in Lebanon-September 2015 to August 2016.,"Given the sparse information on the burden of influenza in Lebanon, the Ministry of Public Health established a sentinel surveillance for severe acute respiratory infections (SARI) to identify the attribution of influenza to reported cases. We aim to highlight the proportion of influenza-associated SARI from September 1st, 2015 to August 31st, 2016 in 2 Lebanese hospitals.",Influenza and other respiratory viruses,2017,11/21/17
20,10.1136/jmedgenet-2017-104892,CNVs affecting cancer predisposing genes (CPGs) detected as incidental findings in routine germline diagnostic chromosomal microarray (CMA) testing.,"Identification of CNVs through chromosomal microarray (CMA) testing is the first-line investigation in individuals with learning difficulties/congenital abnormalities. Although recognised that CMA testing may identify CNVs encompassing a cancer predisposition gene (CPG), limited information is available on the frequency and nature of such results.",Journal of medical genetics,2017,9/18/17
21,10.1186/s12879-017-2217-z,Using a community based survey of healthcare seeking behavior to estimate the actual magnitude of influenza among adults in Beijing during 2013-2014 season.,"Due to a lack of survey of health care seeking behavior for influenza, the actual magnitude of influenza in Beijing of China has not been well described.",BMC infectious diseases,2017,2/5/17
22,10.1186/s12889-017-4073-6,Evaluation of the ability of standardized supports to improve public health response to syndromic surveillance for respiratory diseases in Canada.,"Despite widespread implementation of syndromic surveillance systems within public health agencies, previous studies of the implementation and use of these systems have indicated that the functions and responses taken in response to syndromic surveillance data vary widely according to local context and preferences. The objective of the Syndromic Surveillance Evaluation Study was to develop and implement standardized supports in local public health agencies in Ontario, Canada, and evaluate the ability of these supports to affect actions taken as part of public health communicable disease control programs.",BMC public health,2017,2/17/17
23,10.1186/s12889-017-4134-x,Prevalence of syphilis among female sex workers and their clients in Togo in 2011.,"During the last ten years, a resurgence of syphilis has occurred in many countries worldwide, including Togo. Previous studies have shown a wide range of syphilis infection among the female sex workers (FSWs), from 1.5 to 42.1%. In Togo, Key populations, including FSWs, are rarely involved in the sentinel surveillance programs to determine the prevalence of HIV and syphilis. The aim of this study was to determine the prevalence of syphilis among female sex workers (FSWs) and their clients in Togo.",BMC public health,2017,2/23/17
24,10.1186/s12889-017-4515-1,Establishing an ICD-10 code based SARI-surveillance in Germany - description of the system and first results from five recent influenza seasons.,Syndromic surveillance of severe acute respiratory infections (SARI) is important to assess seriousness of disease as recommended by WHO for influenza. In 2015 the Robert Koch Institute (RKI) started to collaborate with a private hospital network to develop a SARI surveillance system using case-based data on ICD-10 codes. This first-time description of the system shows its application to the analysis of five influenza seasons.,BMC public health,2017,7/2/17
