,requestor,doi,title,abstract_background,journal_name,publication_year,publication_date
10,Francoise Pickart,10.1016/j.ajp.2017.11.018,Suicide and self harm in Nepal: A scoping review.,"Suicide and self harm behavior has become a major public health issue in recent years in Nepal. This small south Asian country was ranked 7th by suicide rate globally by the 2014 World Health Organization report with an estimated 6,840 suicides annually, or 24.9 suicides per 100,000 people. We decided to explore the epidemiology of suicidal behaviour and self harm, modes of attempt, associated risk factors and trends in specific population.",Asian journal of psychiatry,2017,2017-12-05
11,Francoise Pickart,10.1016/j.amjsurg.2017.08.002,Geriatric rescue after surgery (GRAS) score to predict failure-to-rescue in geriatric emergency general surgery patients.,Geriatric-patients(GP) undergoing emergency-general-surgery(EGS) are vulnerable to develop adverse-outcomes. Impact of patient-level-factors on Failure-to-Rescue(FTR) in EGS-GP remains unclear. Aim of our study was to determine factors associated with FTR(death from major-complication) and devise simple-bedside-score that predicts FTR in EGS-GP.,American journal of surgery,2017,2017-08-31
12,Francoise Pickart,10.1016/j.avsg.2016.10.034,Damage Control Endografting for the Unstable or Unfit Patient.,"In the elective setting, both open surgical and endovascular therapies may be reasonable treatment options for many vascular conditions. However, an unstable or unfit patient with a vascular emergency may be less able to tolerate a definitive open vascular operation. We now report the outcomes for ""damage control"" endografting for unstable or unfit patients with vascular emergencies as bridge therapy before definitive open therapy.",Annals of vascular surgery,2017,2017-03-01
13,Francoise Pickart,10.1016/j.comppsych.2017.05.007,Factors associated with posttraumatic stress disorder symptoms among community volunteers during the Sewol ferry disaster in Korea.,The aim of this study was to investigate the characteristics associated with volunteerism and identify the factors that contributed to posttraumatic stress disorder symptoms among community volunteers following the Sewol ferry disaster in Korea.,Comprehensive psychiatry,2017,2017-06-13
14,Francoise Pickart,10.1016/j.jad.2017.04.062,Serum polyunsaturated fatty acids and risk of psychiatric disorder after acute coronary syndrome: A prospective cohort study.,"Around 20% of patients with acute coronary syndrome (ACS) develop depression. Furthermore, some observational studies revealed baseline polyunsaturated fatty acids (PUFAs) may affect the prognosis of depression after ACS. This prospective cohort study examined the association between psychiatric disorder and PUFAs after ACS.",Journal of affective disorders,2017,2017-05-10
15,Francoise Pickart,10.1016/j.jad.2017.06.030,Psychological distress and the incident risk of functional disability in elderly survivors after the Great East Japan Earthquake.,We conducted a prospective cohort study to investigate whether psychological distress would have increased the incident risk of functional disability after the 2011 Great East Japan Earthquake.,Journal of affective disorders,2017,2017-06-25
16,Francoise Pickart,10.1016/j.jss.2016.11.040,Physiological and Operative Severity Score for the enUmeration of Mortality and morbidity and modified Physiological and Operative Severity Score for the enUmeration of Mortality and morbidity for the mortality prediction among nonagenarians undergoing emergency surgery.,The aims of this study were to determine the outcomes of emergency abdominal surgery in patients aged ≥90 y and to analyze the role of Physiological and Operative Severity Score for the enUmeration of Mortality and morbidity (POSSUM) and modified POSSUM in predicting their morbidity and mortality.,The Journal of surgical research,2017,2017-05-02
17,Francoise Pickart,10.1016/j.jss.2016.12.002,Loss of muscle mass: a significant predictor of postoperative complications in acute diverticulitis.,"Severe muscle mass depletion, sarcopenia, has been shown to be associated with poor operative outcomes. However, its impact on emergency abdominal operations remains unclear. The purpose of this study was to examine the association between low muscle mass (LMM) and outcomes after emergency operations for acute diverticulitis.",The Journal of surgical research,2017,2017-05-15
18,Francoise Pickart,10.1016/j.jss.2017.03.041,Economic evaluations of comprehensive geriatric assessment in surgical patients: a systematic review.,"Seniors presenting with surgical disease face increased risk of postoperative morbidity and mortality and have increased treatment costs. Comprehensive Geriatric Assessment (CGA) is proposed to reduce morbidity, mortality, and the cost after surgery.",The Journal of surgical research,2017,2017-10-08
19,Francoise Pickart,10.1016/j.rmed.2017.01.003,Effect of social deprivation on the admission rate and outcomes of adult respiratory emergency admissions.,Patients with respiratory disorders constitute a major source of activity for Acute Medicine. We have examined the impact of Socio-Economic Status (SES) and weather factors on the outcomes (30-day in-hospital mortality) of emergency hospitalisations with a respiratory presentation.,Respiratory medicine,2017,2017-01-25
20,Francoise Pickart,10.1016/j.socscimed.2017.07.020,Association between housing type and γ-GTP increase after the Great East Japan Earthquake.,"It has been reported that alcohol consumption increases after natural disasters, with an impact on health. However, the impact of relocation upon drinking behavior has been unclear. The aim of this study was to clarify the association between housing type and the impact of alcohol consumption on health after the Great East Japan Earthquake (GEJE) of 2011.",Social science & medicine (1982),2017,2017-08-09
21,Francoise Pickart,10.1016/j.surg.2017.03.016,Does the emergency surgery score accurately predict outcomes in emergent laparotomies?,The emergency surgery score is a mortality-risk calculator for emergency general operation patients. We sought to examine whether the emergency surgery score predicts 30-day morbidity and mortality in a high-risk group of patients undergoing emergent laparotomy.,Surgery,2017,2017-05-31
22,Francoise Pickart,10.1017/S0033291717000472,Separation from parents during childhood trauma predicts adult attachment security and post-traumatic stress disorder.,Prolonged separation from parental support is a risk factor for psychopathology. This study assessed the impact of brief separation from parents during childhood trauma on adult attachment tendencies and post-traumatic stress.,Psychological medicine,2017,2017-05-26
23,Francoise Pickart,10.1017/dmp.2017.28,"Rapid Risk Assessment Report for Schistosomiasis Epidemic in Jianli County Caused by the Sunk ""Oriental Star"" Cruise Ship.","At 9:28 pm on June 1, 2015, the cruise ship ""Oriental Star"" sank into Yangtze River in Jianli County, with 422 people killed. When the accident occurred, the Chinese government took immediate action and dispatched more than 9000 rescuers. The risk for outbreak of schistosomiasis was increased because of the shipwreck. Obviously it is critical to carry out risk assessment as soon as possible.",Disaster medicine and public health preparedness,2017,2017-09-16
24,Francoise Pickart,10.1080/00015458.2017.1337339,Frailty as a predictor of mortality in the elderly emergency general surgery patient.,"The number of surgical procedures performed in elderly and frail patients has greatly increased in the last decades. However, there is little research in the elderly emergency general surgery patient. The aim of this study was to assess the prevalence of frailty in the emergency general surgery population in Belgium. Secondly, we examined the length of hospital stay, readmission rate and mortality at 30 and 90 days.",Acta chirurgica Belgica,2017,2017-06-13
